Food Item,Category,Serving Size,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g)
Ivy Gourd Mezhukkupuratti,Curry,100 g,128.1,2.3,10.3,6.9,2.9
Ivy Gourd Erissery,Curry,150 g,136.0,4.1,13.9,6.8,3.8
Ivy Gourd Theeyal,Curry,150 g,152.8,3.8,12.9,8.5,2.8
Ivy Gourd Podimas,Curry,100 g,99.8,2.9,8.8,5.2,2.6
Ivy Gourd Vepudu,Snack,100 g,126.6,2.8,12.9,8.5,2.6
Ivy Gourd Roast,Snack,100 g,157.7,2.6,13.4,8.4,2.2
Yardlong Beans Mor Kuzhambu,Curry,150 g,97.0,3.3,10.1,4.8,2.5
Yardlong Beans Puli Kuzhambu,Curry,150 g,110.6,3.0,12.4,4.7,3.1
Yardlong Beans Mezhukkupuratti,Curry,100 g,110.8,2.5,10.3,6.5,2.8
Yardlong Beans Erissery,Curry,150 g,135.2,4.2,15.3,6.5,3.6
Yardlong Beans Theeyal,Curry,150 g,138.2,3.4,12.5,9.5,3.1
Yardlong Beans Podimas,Curry,100 g,100.5,2.8,9.5,5.1,2.4
Yardlong Beans Vepudu,Snack,100 g,132.4,3.2,11.2,7.8,2.6
Yardlong Beans Roast,Snack,100 g,150.8,2.7,13.0,8.9,2.4
Spinach Mor Kuzhambu,Curry,150 g,97.0,3.4,10.0,4.9,2.5
Spinach Puli Kuzhambu,Curry,150 g,108.7,2.9,11.7,5.1,2.9
Spinach Mezhukkupuratti,Curry,100 g,129.2,2.5,10.5,7.1,3.2
Spinach Erissery,Curry,150 g,148.7,4.2,13.9,7.1,3.4
Spinach Theeyal,Curry,150 g,141.6,3.7,13.3,8.4,2.9
Spinach Podimas,Curry,100 g,102.0,3.1,9.2,4.8,2.4
Spinach Vepudu,Snack,100 g,127.5,3.2,12.8,7.8,2.5
Spinach Roast,Snack,100 g,143.0,2.6,13.1,9.4,2.3
Amaranth Leaves Mor Kuzhambu,Curry,150 g,101.8,3.6,10.0,4.7,2.7
Amaranth Leaves Puli Kuzhambu,Curry,150 g,123.8,2.8,12.8,5.3,2.9
Amaranth Leaves Mezhukkupuratti,Curry,100 g,121.1,2.7,9.4,6.8,3.2
Amaranth Leaves Erissery,Curry,150 g,145.1,4.2,15.9,6.9,3.5
Amaranth Leaves Theeyal,Curry,150 g,148.6,3.7,13.8,9.6,2.9
Amaranth Leaves Podimas,Curry,100 g,99.2,2.8,8.5,5.2,2.5
Amaranth Leaves Vepudu,Snack,100 g,130.0,3.0,11.5,7.7,2.6
Amaranth Leaves Roast,Snack,100 g,146.6,2.9,13.0,9.0,2.2
Radish Mor Kuzhambu,Curry,150 g,108.6,3.4,10.6,5.0,2.4
Radish Puli Kuzhambu,Curry,150 g,109.4,2.8,12.5,4.6,2.9
Radish Mezhukkupuratti,Curry,100 g,118.3,2.6,10.8,7.3,2.8
Radish Erissery,Curry,150 g,149.6,4.3,15.9,7.0,3.4
Radish Theeyal,Curry,150 g,149.0,3.4,12.8,8.3,3.1
Radish Podimas,Curry,100 g,93.2,2.9,9.2,5.2,2.5
Radish Vepudu,Snack,100 g,135.5,3.2,12.6,8.0,2.5
Radish Roast,Snack,100 g,157.8,2.6,14.0,9.0,2.2
Sweet Potato Mor Kuzhambu,Curry,150 g,109.0,3.5,10.0,5.1,2.3
Sweet Potato Puli Kuzhambu,Curry,150 g,111.2,3.0,11.6,5.3,3.0
Sweet Potato Mezhukkupuratti,Curry,100 g,118.5,2.5,9.3,7.0,2.8
Sweet Potato Erissery,Curry,150 g,147.4,4.0,15.5,6.6,3.7
Sweet Potato Theeyal,Curry,150 g,160.5,3.6,12.2,8.9,3.0
Sweet Potato Podimas,Curry,100 g,90.1,3.0,9.3,4.8,2.5
Sweet Potato Vepudu,Snack,100 g,129.6,3.1,12.8,8.4,2.6
Sweet Potato Roast,Snack,100 g,141.0,2.6,12.9,8.8,2.2
Field Beans Mor Kuzhambu,Curry,150 g,103.1,3.7,10.0,5.4,2.5
Field Beans Puli Kuzhambu,Curry,150 g,112.8,3.1,12.8,5.1,3.1
Field Beans Mezhukkupuratti,Curry,100 g,113.3,2.6,9.5,7.2,3.0
Field Beans Erissery,Curry,150 g,135.7,4.2,14.9,7.1,3.3
Field Beans Theeyal,Curry,150 g,141.2,3.3,13.3,8.6,3.0
Field Beans Podimas,Curry,100 g,100.4,3.0,8.3,5.3,2.4
Field Beans Vepudu,Snack,100 g,136.9,3.0,11.8,7.5,2.5
Field Beans Roast,Snack,100 g,143.9,2.8,13.2,9.1,2.3
Green Peas Mor Kuzhambu,Curry,150 g,97.4,3.3,10.2,4.6,2.6
Green Peas Puli Kuzhambu,Curry,150 g,118.1,3.2,11.6,5.3,2.8
Green Peas Mezhukkupuratti,Curry,100 g,118.4,2.4,10.3,7.1,3.1
Green Peas Erissery,Curry,150 g,142.1,4.2,14.2,6.9,3.5
Green Peas Theeyal,Curry,150 g,160.4,3.3,12.6,8.8,2.9
Green Peas Podimas,Curry,100 g,88.4,3.0,9.1,4.8,2.4
Green Peas Vepudu,Snack,100 g,139.2,2.9,12.1,8.0,2.6
Green Peas Roast,Snack,100 g,152.7,2.6,13.5,9.2,2.4
Capsicum Mor Kuzhambu,Curry,150 g,104.7,3.6,10.7,5.4,2.4
Capsicum Puli Kuzhambu,Curry,150 g,117.0,2.9,12.0,5.4,2.9
Capsicum Mezhukkupuratti,Curry,100 g,112.9,2.5,10.0,7.1,3.0
Capsicum Erissery,Curry,150 g,132.8,4.1,15.5,7.5,3.2
Capsicum Theeyal,Curry,150 g,138.6,3.6,12.2,9.5,3.1
Capsicum Podimas,Curry,100 g,102.6,3.0,8.8,5.0,2.6
Capsicum Vepudu,Snack,100 g,124.4,2.9,11.6,8.4,2.4
Capsicum Roast,Snack,100 g,150.2,2.7,12.0,9.3,2.1
Potato Mor Kuzhambu,Curry,150 g,108.8,3.6,9.2,4.7,2.4
Potato Puli Kuzhambu,Curry,150 g,112.0,3.1,12.8,5.2,3.1
Potato Mezhukkupuratti,Curry,100 g,119.6,2.6,10.6,7.0,2.9
Potato Erissery,Curry,150 g,146.4,3.9,15.6,7.4,3.4
Potato Theeyal,Curry,150 g,155.4,3.4,13.1,8.6,3.1
Potato Podimas,Curry,100 g,99.6,3.2,8.8,5.4,2.4
Potato Vepudu,Snack,100 g,124.9,3.2,12.2,8.4,2.5
Potato Roast,Snack,100 g,147.3,2.8,13.8,9.4,2.3
Onion Mor Kuzhambu,Curry,150 g,101.9,3.2,9.9,5.0,2.4
Onion Puli Kuzhambu,Curry,150 g,114.1,3.2,11.5,4.8,2.8
Onion Mezhukkupuratti,Curry,100 g,125.5,2.6,10.7,6.9,2.8
Onion Erissery,Curry,150 g,139.6,4.0,14.3,7.5,3.6
Onion Theeyal,Curry,150 g,150.6,3.7,12.3,9.5,3.2
Onion Podimas,Curry,100 g,101.7,3.1,8.5,5.2,2.5
Onion Vepudu,Snack,100 g,139.6,3.0,11.0,8.6,2.6
Onion Roast,Snack,100 g,152.3,2.6,12.9,8.3,2.2
Tomato Mor Kuzhambu,Curry,150 g,107.7,3.4,10.1,4.8,2.7
Tomato Puli Kuzhambu,Curry,150 g,111.7,2.9,11.6,4.9,3.0
Tomato Mezhukkupuratti,Curry,100 g,112.7,2.4,9.6,6.5,3.1
Tomato Erissery,Curry,150 g,140.3,3.8,14.6,6.8,3.3
Tomato Theeyal,Curry,150 g,154.9,3.4,12.5,8.4,3.1
Tomato Podimas,Curry,100 g,92.5,3.0,8.5,5.0,2.6
Tomato Vepudu,Snack,100 g,126.5,2.8,11.9,7.6,2.5
Tomato Roast,Snack,100 g,152.2,3.0,13.4,9.2,2.1
Turnip Mor Kuzhambu,Curry,150 g,110.3,3.6,10.3,5.0,2.7
Turnip Puli Kuzhambu,Curry,150 g,119.7,3.0,11.3,5.3,3.2
Turnip Mezhukkupuratti,Curry,100 g,119.4,2.5,10.3,7.2,3.0
Turnip Erissery,Curry,150 g,134.0,3.8,15.9,7.1,3.7
Turnip Theeyal,Curry,150 g,147.4,3.6,13.3,9.4,3.2
Turnip Podimas,Curry,100 g,94.3,2.8,9.0,4.9,2.5
Turnip Vepudu,Snack,100 g,127.9,3.1,12.2,7.5,2.3
Turnip Roast,Snack,100 g,157.6,2.9,12.6,9.2,2.3
Banana Flower Mor Kuzhambu,Curry,150 g,105.6,3.4,9.9,5.1,2.5
Banana Flower Puli Kuzhambu,Curry,150 g,123.7,2.9,11.7,5.3,3.0
Banana Flower Mezhukkupuratti,Curry,100 g,125.5,2.5,10.5,7.0,2.9
Banana Flower Erissery,Curry,150 g,143.6,3.7,16.0,7.1,3.5
Banana Flower Theeyal,Curry,150 g,152.2,3.5,13.1,9.5,2.8
Banana Flower Podimas,Curry,100 g,101.9,2.8,8.4,5.3,2.6
Banana Flower Vepudu,Snack,100 g,132.4,3.0,12.3,7.5,2.6
Banana Flower Roast,Snack,100 g,159.3,3.0,13.3,8.3,2.1
Plantain Stem Mor Kuzhambu,Curry,150 g,99.1,3.5,9.8,5.1,2.4
Plantain Stem Puli Kuzhambu,Curry,150 g,118.3,2.9,12.1,5.3,2.9
Plantain Stem Mezhukkupuratti,Curry,100 g,128.5,2.5,10.8,6.8,2.8
Plantain Stem Erissery,Curry,150 g,129.0,4.3,14.8,6.6,3.4
Plantain Stem Theeyal,Curry,150 g,146.9,3.5,12.1,9.3,3.2
Plantain Stem Podimas,Curry,100 g,92.9,3.2,9.5,4.8,2.6
Plantain Stem Vepudu,Snack,100 g,132.7,2.9,11.8,7.8,2.5
Plantain Stem Roast,Snack,100 g,153.9,2.8,12.4,8.8,2.3
Ragi Roti,Staple,60 g,158.2,3.8,28.1,3.1,2.8
Bajra Roti,Staple,60 g,161.8,3.7,26.6,3.0,3.0
Rice Roti,Staple,60 g,156.9,4.1,25.7,2.8,3.0
Wheat Chapati,Staple,60 g,151.2,4.0,25.4,2.8,3.1
Akki Roti,Staple,60 g,151.9,4.2,24.9,3.0,3.0
Neer Dosa Roti,Staple,60 g,151.1,3.9,28.0,3.0,3.1
Adai Roti,Staple,60 g,140.7,4.0,26.8,2.8,3.1
Multigrain Roti,Staple,60 g,161.6,4.3,27.2,3.0,2.8
Beetroot Roti,Staple,60 g,159.4,3.7,25.9,3.1,3.2
Carrot Roti,Staple,60 g,139.9,4.1,27.2,2.9,2.8
Methi Roti,Staple,60 g,146.2,4.2,25.9,3.0,3.0
Palak Roti,Staple,60 g,155.6,3.9,27.9,3.1,2.9
Onion Roti,Staple,60 g,138.8,4.3,27.0,3.1,3.0
Foxtail Millet Upma,Breakfast,150 g,186.0,5.0,30.3,5.6,3.2
Foxtail Millet Pongal,Breakfast,200 g,283.3,6.1,40.6,7.5,2.5
Foxtail Millet Dosa,Breakfast,100 g,169.0,3.9,24.5,3.9,2.6
Foxtail Millet Idli,Breakfast,100 g,87.6,2.8,17.1,0.8,1.9
Foxtail Millet Khichdi,Rice Dish,200 g,228.0,6.3,36.5,5.2,3.0
Foxtail Millet Payasam,Dessert,100 g,193.9,3.7,26.3,6.5,0.9
Kodo Millet Upma,Breakfast,150 g,213.9,4.7,32.0,6.5,3.1
Kodo Millet Pongal,Breakfast,200 g,258.7,5.9,42.9,7.6,2.6
Kodo Millet Dosa,Breakfast,100 g,156.0,4.1,27.1,3.8,2.4
Kodo Millet Idli,Breakfast,100 g,93.5,2.9,18.7,0.8,2.0
Kodo Millet Khichdi,Rice Dish,200 g,225.6,6.2,37.8,4.7,3.2
Kodo Millet Payasam,Dessert,100 g,170.6,3.7,26.8,7.2,1.1
Little Millet Upma,Breakfast,150 g,205.9,4.6,34.1,6.1,3.2
Little Millet Pongal,Breakfast,200 g,267.1,6.4,44.4,7.8,2.4
Little Millet Dosa,Breakfast,100 g,149.7,4.1,25.5,4.2,2.6
Little Millet Idli,Breakfast,100 g,98.6,3.0,17.1,0.8,2.1
Little Millet Khichdi,Rice Dish,200 g,218.2,6.0,39.1,5.3,2.8
Little Millet Payasam,Dessert,100 g,173.1,3.3,26.8,6.7,1.0
Barnyard Millet Upma,Breakfast,150 g,190.2,4.6,29.9,6.4,3.1
Barnyard Millet Pongal,Breakfast,200 g,284.5,6.4,42.9,8.3,2.3
Barnyard Millet Dosa,Breakfast,100 g,169.1,3.8,26.7,4.3,2.5
Barnyard Millet Idli,Breakfast,100 g,102.1,3.2,18.6,0.8,2.0
Barnyard Millet Khichdi,Rice Dish,200 g,246.1,6.1,40.6,4.8,3.0
Barnyard Millet Payasam,Dessert,100 g,196.9,3.7,26.2,6.6,0.9
Pearl Millet Upma,Breakfast,150 g,208.9,4.9,31.1,5.6,3.2
Pearl Millet Pongal,Breakfast,200 g,259.8,5.9,41.9,8.5,2.5
Pearl Millet Dosa,Breakfast,100 g,151.8,4.0,24.5,4.2,2.4
Pearl Millet Idli,Breakfast,100 g,97.2,3.2,18.6,0.7,1.9
Pearl Millet Khichdi,Rice Dish,200 g,232.6,5.8,37.7,5.3,2.8
Pearl Millet Payasam,Dessert,100 g,189.2,3.7,27.7,6.7,1.0
Sorghum Upma,Breakfast,150 g,212.9,5.1,32.1,6.4,3.0
Sorghum Pongal,Breakfast,200 g,267.2,6.3,43.9,8.4,2.5
Sorghum Dosa,Breakfast,100 g,147.3,4.3,27.3,4.0,2.5
Sorghum Idli,Breakfast,100 g,101.6,2.9,18.5,0.8,2.0
Sorghum Khichdi,Rice Dish,200 g,246.9,5.6,38.2,5.4,2.8
Sorghum Payasam,Dessert,100 g,183.8,3.6,27.6,6.6,0.9
Finger Millet Upma,Breakfast,150 g,196.3,4.8,33.0,6.4,3.1
Finger Millet Pongal,Breakfast,200 g,263.9,5.6,42.9,8.3,2.4
Finger Millet Dosa,Breakfast,100 g,152.1,4.1,26.4,4.0,2.3
Finger Millet Idli,Breakfast,100 g,95.6,2.9,18.1,0.8,2.0
Finger Millet Khichdi,Rice Dish,200 g,248.2,5.6,35.3,5.2,2.8
Finger Millet Payasam,Dessert,100 g,173.7,3.7,27.7,7.0,1.0
Proso Millet Upma,Breakfast,150 g,212.0,4.7,32.4,6.4,2.8
Proso Millet Pongal,Breakfast,200 g,254.5,6.1,41.8,8.5,2.3
Proso Millet Dosa,Breakfast,100 g,165.2,3.8,24.6,3.7,2.4
Proso Millet Idli,Breakfast,100 g,99.5,3.0,17.1,0.8,2.1
Proso Millet Khichdi,Rice Dish,200 g,215.5,6.0,39.8,4.8,3.1
Proso Millet Payasam,Dessert,100 g,182.8,3.7,29.1,7.2,1.0
Browntop Millet Upma,Breakfast,150 g,215.2,5.1,30.1,6.3,3.1
Browntop Millet Pongal,Breakfast,200 g,281.4,6.1,40.9,7.5,2.4
Browntop Millet Dosa,Breakfast,100 g,157.8,4.1,26.2,4.0,2.7
Browntop Millet Idli,Breakfast,100 g,88.0,2.8,19.0,0.8,2.1
Browntop Millet Khichdi,Rice Dish,200 g,212.2,6.0,35.0,4.7,2.8
Browntop Millet Payasam,Dessert,100 g,189.5,3.7,26.6,7.3,1.0
